,LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
0,-0.20803433059888823,0.6514792433257054,1.0509937888999856,0.8786680880058696,0.5100153434679178,2,2,2,-0.4593025408311876,0,-0.7934337933349002,1.1618515874685553,0.3703334392167798,0.7897405221108432,2,0.9122097711603002,-0.9512264882332893,5,1,0.9924258852482346,1,0.31172464418307205,0.35100032086652694,-0.7521758378613592,0.2165031608388436,208500
1,0.4098945178329282,-0.07183611428306244,0.15673371079690998,-0.4295769652193609,-0.5728345802734872,3,1,2,0.4664649160883461,0,0.25714042978945445,-0.7951632272572445,-0.48251191458524123,0.7897405221108432,3,-0.31868326571034533,0.6004949339126351,4,1,-0.10154317610852794,1,0.31172464418307205,-0.060731012615303295,1.6261947918523714,-0.704483250333654,181500
2,-0.08444856091252495,0.6514792433257054,0.9847523016330911,0.8302145675160463,0.3221740301658373,2,2,2,-0.3133687545187488,0,-0.6278260340246571,1.1893506246778172,0.5150125617367655,0.7897405221108432,2,-0.31868326571034533,0.6004949339126351,4,1,0.9113911399625485,1,0.31172464418307205,0.6317262300586839,-0.7521758378613592,-0.07036145903455729,223500
3,-0.4140106134094937,0.6514792433257054,-1.8636316508433721,-0.720298088158301,-0.5728345802734872,3,0,3,-0.6873240819443732,2,-0.5217335632165325,0.9372761169262505,0.3836591478699364,-1.0260408358133,2,0.29676325272497744,0.6004949339126351,2,5,0.7898390220340193,2,1.6503069397927341,0.7908042452675729,-0.7521758378613592,-0.1760484242510734,140000
4,0.5746755440814125,1.3747946009344731,0.9516315579996439,0.7333075265363995,1.3608259978361645,2,2,2,0.1996797129859189,0,-0.045611255199583686,1.6178772878554806,1.299325699608267,0.7897405221108432,2,1.527656289595623,0.6004949339126351,4,1,0.8708737673197054,1,1.6503069397927341,1.6984846849888804,0.7801971853099035,0.5637603322645395,250000
5,0.6158708006435336,-0.7951514718918303,0.7197863525655132,0.4910399240872828,-0.5728345802734872,3,5,2,-0.596115465499099,0,-0.9486910676882531,0.5018746944462716,-0.2921446481115758,-1.0260408358133,3,-0.934129784145668,-0.9512264882332893,5,1,0.5872521588198041,2,0.31172464418307205,0.03284429044874903,-0.43293145803401284,-0.25153911369144205,143000
6,0.2039182350223227,1.3747946009344731,1.084114532533433,0.9755751289855163,0.45476789837907056,2,2,0,1.4332762504082532,0,1.3749928051335953,-0.7951632272572445,0.33987467658099335,0.7897405221108432,2,0.29676325272497744,0.6004949339126351,2,1,1.0329432578910778,1,0.31172464418307205,0.7627316543483571,1.283007083537974,0.15611060928654868,307000
7,-0.4140106134094937,0.6514792433257054,0.05737147989656824,-0.5749375266888309,0.7531041018588454,3,1,2,0.11303152736290836,0,-0.14394086229004052,1.45746623746812,1.0937290518167084,0.7897405221108432,3,0.29676325272497744,2.1522163560585597,4,1,-0.2230952940370571,1,0.31172464418307205,0.05155935106155949,1.1233848936243007,2.3755368788333873,200000
8,-0.7847679224685835,0.6514792433257054,-1.3336997527082162,-1.689368497954768,-0.5728345802734872,3,0,3,-0.2404018613625294,2,-0.3638886676239571,0.9281097711898298,0.49216848975992566,0.7897405221108432,3,0.9122097711603002,2.1522163560585597,4,5,-1.9248249450364656,2,0.31172464418307205,-0.023300891389682367,-0.03387598324982984,-0.704483250333654,129900
9,-0.8259631790307046,-0.7951514718918303,-1.0687338036406382,-1.689368497954768,-0.5728345802734872,3,0,3,-0.151473460328387,0,-0.22156949946671697,-0.7951632272572445,-0.8346913575615222,-1.0260408358133,3,-0.934129784145668,2.1522163560585597,4,1,-1.600685963893721,1,-1.02685765142659,-1.2538161266819705,-0.7521758378613592,-0.644090698781359,118000
10,-0.0020580477882827593,-0.7951514718918303,-0.20759446917100974,-0.9625656906074178,-0.5728345802734872,3,1,3,-0.03974290518292602,0,-0.3173114853179513,-0.7951632272572445,-0.9051272461567784,-1.0260408358133,3,-0.934129784145668,-0.9512264882332893,5,5,-0.5472342751798016,2,-1.02685765142659,-0.41631716425870213,-0.7521758378613592,-0.704483250333654,129500
12,-0.4140106134094937,-0.7951514718918303,-0.3069567000713515,-1.1079262520768878,-0.5728345802734872,3,1,3,-0.3316104778078036,4,-0.6485270039384374,-0.7951632272572445,-1.1487973472430701,-1.0260408358133,3,-1.5495763025809908,-0.9512264882332893,5,5,-0.6687863931083308,2,-1.02685765142659,-0.5660376491611858,0.36517949153435314,-0.704483250333654,144000
13,0.8630423400162602,0.6514792433257054,1.1503560198003273,1.072482169965163,1.117737239445237,2,2,2,0.9954748914709368,0,0.8574685572890857,-0.7951632272572445,-0.04085985636633749,0.7897405221108432,2,0.29676325272497744,0.6004949339126351,2,1,1.1139780031767639,1,1.6503069397927341,1.7171997456016908,0.5248016814480263,-0.20624470002722087,279500
14,-0.4140106134094937,-0.07183611428306244,-0.373198187338246,-1.2048332930565346,0.5984112556100732,3,1,3,0.4459429773881594,4,0.23385183863645154,-0.7951632272572445,-0.4996449685678711,-1.0260408358133,3,-0.934129784145668,0.6004949339126351,1,1,-0.7498211383940169,1,-1.02685765142659,-0.5660376491611858,-0.7521758378613592,2.5114201198260506,157000
15,-0.7847679224685835,0.6514792433257054,-1.3999412399751108,0.781761047026223,-0.5728345802734872,3,0,3,-0.5140277106983522,0,-0.7986090358133452,-0.7951632272572445,-1.259210361797796,-1.0260408358133,3,-0.934129784145668,-0.9512264882332893,5,5,0.506217413534118,2,0.31172464418307205,0.4820057451562002,-0.36908258206854355,0.9865081931306039,132000
16,-0.4140106134094937,-0.07183611428306244,-0.04199075100377351,-0.720298088158301,0.42161943132576224,3,1,3,-0.12183065998367285,0,-0.410465849929963,-0.7951632272572445,-0.973659462087298,-1.0260408358133,3,-0.934129784145668,0.6004949339126351,4,1,-0.3446474119655863,0,0.31172464418307205,0.03284429044874903,-0.7521758378613592,-0.704483250333654,149000
17,0.08033246533595943,-1.518466829500598,-0.14135298190411524,-0.8656586496277711,-0.5728345802734872,3,3,4,-2.411166932760057,4,0.34511955192302113,-0.7951632272572445,-0.417787043984195,0.7897405221108432,3,-0.31868326571034533,-0.9512264882332893,5,4,-0.46619952989411545,2,0.31172464418307205,0.20127983596404322,-0.7521758378613592,-0.704483250333654,90000
18,-0.16683907403676715,-0.7951514718918303,1.084114532533433,0.927121608495693,-0.5728345802734872,3,2,3,0.12899303524083136,0,-0.1258275136154827,-0.7951632272572445,-0.7642554689662661,-1.0260408358133,2,-0.31868326571034533,-0.9512264882332893,5,5,1.0329432578910778,2,0.31172464418307205,0.4820057451562002,-0.7521758378613592,0.8355268142498666,159000
19,-0.0020580477882827593,-0.7951514718918303,-0.4394396746051405,-0.9625656906074178,-0.5728345802734872,3,1,3,-0.06482527470537644,4,0.45638726520959066,-0.7951632272572445,-0.3359291194005189,-1.0260408358133,3,-0.31868326571034533,-0.9512264882332893,5,1,-0.830855883679703,2,-1.02685765142659,-0.8374060280469375,-0.7521758378613592,-0.704483250333654,139000
20,1.2749949056374712,1.3747946009344731,1.1172352761668802,1.0240286494753397,1.5265683331027062,2,2,0,0.22932251333063305,0,-0.011972179089690562,1.9959890494828307,1.6381794339313913,2.6055218800349866,2,1.527656289595623,0.6004949339126351,2,3,1.0734606305339207,1,1.6503069397927341,1.7780236925933248,1.1632904411027192,1.6206299844297007,325300
21,-0.537596383095857,0.6514792433257054,-1.3668204963416635,-1.689368497954768,-0.5728345802734872,3,2,3,-0.9586697158690641,0,-0.14135324105081798,-0.7951632272572445,-0.775677504954686,-1.0260408358133,2,-0.31868326571034533,0.6004949339126351,2,1,-1.9653423176793086,2,-1.02685765142659,-0.9029087401917743,-0.7521758378613592,-0.704483250333654,139400
22,0.2039182350223227,1.3747946009344731,1.0178730452665383,0.8302145675160463,0.9796186267231188,2,2,2,1.6407758528212522,0,1.6363425502950728,-0.7951632272572445,0.5321456157193953,0.7897405221108432,2,0.29676325272497744,0.6004949339126351,2,1,0.9519085126053916,1,0.31172464418307205,0.2854976087216903,0.6125938859005466,1.6961206738700694,230000
23,-1.0731347184034312,-0.7951514718918303,0.15673371079690998,-0.4295769652193609,-0.5728345802734872,3,2,2,-0.03974290518292602,4,-0.2655590605335003,-0.7951632272572445,-0.8670537928620453,-1.0260408358133,3,-0.31868326571034533,0.6004949339126351,4,1,-0.10154317610852794,2,0.31172464418307205,0.46329068454338973,0.04593511170700675,0.9563119173544564,129900
24,-0.4140106134094937,-0.7951514718918303,-0.108232238270668,0.781761047026223,-0.5728345802734872,3,1,3,0.005861403039711112,0,-0.2655590605335003,-0.7951632272572445,-0.8670537928620453,-1.0260408358133,2,-0.31868326571034533,0.6004949339126351,4,1,-0.4256821572512724,2,-1.02685765142659,-0.9496963917238004,2.488154617386207,0.6543491595929818,154000
25,1.645752214696561,1.3747946009344731,1.1834767634337746,1.072482169965163,2.963001905412733,2,2,2,1.1596504010724304,0,1.1317564086466758,-0.7951632272572445,0.16092944609574783,0.7897405221108432,2,0.29676325272497744,0.6004949339126351,2,1,1.1544953758196068,1,1.6503069397927341,1.9511380032618217,-0.7521758378613592,0.14101247139847495,256300
26,-0.4140106134094937,-0.7951514718918303,-0.6712848800392712,0.7333075265363995,-0.5728345802734872,3,1,3,-0.3589730627413859,4,-0.679578458809108,-0.7951632272572445,-1.17164141921991,-1.0260408358133,2,-0.934129784145668,-0.9512264882332893,5,5,1.0734606305339207,2,0.31172464418307205,0.4820057451562002,1.0196304701804133,-0.2213428379152946,134800
27,1.1514091359511078,1.3747946009344731,1.1834767634337746,1.1209356904549863,0.5321143215034566,2,2,0,1.4743201278086266,0,1.4008690175258207,-0.7951632272572445,0.35891140322835985,0.7897405221108432,2,0.29676325272497744,0.6004949339126351,2,1,1.19501274846245,1,1.6503069397927341,1.399043715183913,-0.7521758378613592,0.050423644070032574,306000
28,-0.949548948717068,-0.7951514718918303,-0.47256041823858774,0.5879469650669296,-0.5728345802734872,3,1,3,0.9726727373596182,4,1.1317564086466758,-0.7951632272572445,0.16092944609574783,-1.0260408358133,3,-0.31868326571034533,2.1522163560585597,2,1,-0.871373256322546,1,-1.02685765142659,-0.7204368992168722,1.546383696895535,3.1908363247893687,207500
29,-0.4140106134094937,-1.518466829500598,-1.4661827272420052,-1.689368497954768,-0.5728345802734872,3,0,3,-1.2254549189714914,1,-1.6628745297136764,-0.7951632272572445,-1.8950370318198386,-1.0260408358133,1,-1.5495763025809908,-0.9512264882332893,5,5,-2.370516044107739,2,-1.02685765142659,-1.0900593463198789,-0.3611014725728599,-0.704483250333654,68500
30,-0.8259631790307046,-1.518466829500598,-1.6980279326761358,-1.689368497954768,-0.5728345802734872,3,0,3,-0.9313071309354819,4,-1.3290713898539677,0.7356165107249971,-0.37780991802472524,-1.0260408358133,3,-0.31868326571034533,-0.9512264882332893,5,5,-2.370516044107739,2,-1.02685765142659,-1.0432716947878526,-0.7521758378613592,0.1108161956223275,40000
31,-0.4140106134094937,-0.7951514718918303,-0.1744737255375625,1.0240286494753397,-0.5728345802734872,3,1,3,0.388937592109863,2,0.16916130765588783,-0.7951632272572445,-0.5472367851862875,-1.0260408358133,2,-0.31868326571034533,-0.9512264882332893,5,1,-0.5067169025369586,2,-1.02685765142659,-0.9450176265705977,-0.7521758378613592,0.2768957123911385,149350
32,0.6158708006435336,1.3747946009344731,1.1834767634337746,1.072482169965163,-0.5728345802734872,2,2,0,0.4026188845766541,0,0.1846870350912231,-0.7951632272572445,-0.5358147491978675,0.7897405221108432,2,0.29676325272497744,-0.9512264882332893,5,1,1.1544953758196068,1,0.31172464418307205,0.05155935106155949,-0.7521758378613592,-0.25153911369144205,179900
